,Comment ID,Comment,Likes,Replies
0,UgycPmobNQIhtOrN3Pl4AaABAg,KEKEKEKKEEKE ME AND EVA CORRUPTING EVERYONE MWAHAHAHHAA,161,1
1,Ugw6i4Fi4Lygilt_jjh4AaABAg,"Eva Jess and Celine, the trio we didn&#39;t know we needed",164,0
2,UgwV5IMXpcH7h-2cOj94AaABAg,Poor innocent Celine hearing her friends say dirty things and possibly getting her video demonotized. Still funny seeing her reaction tho.,70,0
3,Ugw_2wkfuBc8iRFllfd4AaABAg,Jess Chobo are unhinged and Celine is there like...WHY are you two like this?? Greatest trio content everybody didnt know they needed.,79,1
4,UgzrgYtA9molJzsH6lF4AaABAg,"This video was full of Celine smiling, what an absolute gift to the world.  Curious what your Chipotle order is.",21,0
5,UgwK-J-uNqMusSL1nFR4AaABAg,Eva’s become one of my favorite streamers to watch as of late. She’s so unintentionally funny and hella outta pocket sometimes. Well most times lmao,9,0
6,Ugz3Eyg5E9agoSsIBRN4AaABAg,"I love Celine&#39;s youtube videos. The content, the editing and just everything. Also being able to find Chobo through Celine has made me so happy.",8,0
7,UgzLsHYE5_7AaCx9tj54AaABAg,Thanks for introducing Eva and Jess to us! We love the unhinged valo streams!,2,0
8,Ugy9Lg_EIUXzx9Ml0sJ4AaABAg,"This stream introduced me to Eva and Jess, and my life has changed since",6,0
9,Ugx3CoM2_fvQvDuOPHp4AaABAg,"literally the best trio pumping out &quot;content&quot;, love you guys :3",0,0
10,UgykR-rTkahFAl3vkMJ4AaABAg,Celine has the best video&#39;s. Brings so much joy and laughter!,1,0
11,UgzOfj1WH_5Sw996D8x4AaABAg,when ryan and abe started singing the song back to Celine HAHAHAHHAHAHA SO FUNNY,7,1
12,UgwLeNU5B-bHjOR0F3x4AaABAg,Hahaha those 3 always makes so much chaos and so much lewd jokes its too funny,7,0
13,UgzKv8eZmehq_-xpU154AaABAg,These were such good streams XD,1,0
14,UgwCj1yYbzhxaxZJTGF4AaABAg,Always an instant thumbs up for Celine,2,0
15,UgzKVVPxgO03v7WalvV4AaABAg,The editor need a raise this video is just 10 minutes of edited laughter,3,0
16,UgzmGcFaAHe1IYXgBRR4AaABAg,this is the true degenerate content we like to see,6,0
17,UgxD11aR7w7T93eIJXd4AaABAg,Your friends are unhinged. I like it.,0,0
