,Comment ID,Comment,Likes,Replies
0,Ugy0KiJYp0SPZTjRnyF4AaABAg,"<a href=""about:invalid#zCSafez""></a> YouTube said if you like the video - you will win your next Valorant game",911,17
1,UgwmbCuEt6shV8VjWbp4AaABAg,"Sinatra says you take ranked to serious, but then it cuts to a clip where you are being nostalgic about old cs days. Actual gold",2230,15
2,UgwwUPcRMDr9IH2KdGZ4AaABAg,Mr.Editor needs a raise. literally Pog edits. the small details are nice.,857,6
3,UgyWyIFL3TE9q3L2AI14AaABAg,Shroud and Hiko: <b>trolling</b><br>Sinatra: They&#39;re taking ranked too srsly,628,4
4,UgyAgn1-4lonch696Rx4AaABAg,"It feels appropriate those guys were calling you and Hiko old men, cut to you guys running through them and reminiscing about old CS days",1002,12
5,Ugy5BVKArSzwqq9WFuB4AaABAg,It makes me so happy seeing Sinatraa being toxic and just finding excuses why he just lost 1-13 to Shroud.,1561,46
6,Ugy8GMdLfpD8uvl6Jb14AaABAg,I can feel the brain cells leaving my body every time I hear Sinatraa talk,995,42
7,UgzbBY3Zc6mlwoqfAVt4AaABAg,Imagine that it&#39;s your literal job to play Valorant at a high level and you unironically say that someone you&#39;re losing to is taking a match too seriously,17,1
8,UgyuTfgGZq1m01FJlm14AaABAg,"God damn, sinatra getting shit on after calling you guys old and trying to be cool was incredibly satisfying. That dude is such a tool.",53,0
9,Ugzc9IgJhNrdMzROWJ14AaABAg,Hey shroud love your content keep it up man ❤,194,0
10,UgzFvXqpZd31gfE9GTt4AaABAg,It makes me so excited to see my two favorite cs Players playing together again now. Been watching both since 2014/15,19,0
11,UgzqD7mNA4Sg-GkHK1V4AaABAg,Okay shroud is a god tier gamer but this editing top tier too 👏👏,86,0
12,UgwAtoyl1Wmzv8AcsVp4AaABAg,"@<a href=""https://www.youtube.com/watch?v=DTuS6Bki9kI&amp;t=5m27s"">5:27</a> I love it when people complain about other people &quot;taking it too seriously&quot;. Just lol dude. Admit that they are better than you, instead of implying that you&#39;re not &quot;trying as hard as them&quot;.",205,11
13,Ugw3EPLEB-3Z18ACmfV4AaABAg,"as a boomer, this content is all i want. hiko and shroud thinking back cs days put a smile on my face.",21,0
14,UgxdYnHWtdYUViT-PLV4AaABAg,I love the fact they went &quot;omg imaging trying in a competitive game&quot; when losing - lmao.,8,0
15,Ugz3LPpk7rkT_LM-6gV4AaABAg,"Sinatra making excuses is so satisfying, the silence when they got destroyed is music to my ears",23,0
16,UgwQaCj5rtpZm1rmICV4AaABAg,"Feels like there&#39;s a new editor now for youtube videos or maybe the last one changed his ways, but the editing now actually does make the video more engaging and fun to watch! Huge props to the editor and all the team behind this channel! &lt;3",1,0
17,UgzpUhc6EGvQZm0tcc94AaABAg,"yo shroud i really love ur content keep it up, ur really my idol on valorant",1,0
18,Ugyy-SxBn4yH0TE2DK54AaABAg,"Sinatraa, the ranked only extraordinaire, trying to trash talk by saying someone is only good while playing ranked 💀",44,0
19,UgxvsSXwLp_vBrxE0wd4AaABAg,"I love how much trash they were talking, and then they were like, oh, they&#39;re tryharding 😂",6,0
20,UgxpQD0o2r2dgoSk5Bp4AaABAg,I like the new editing style also shroud &amp; hiko are the the best duo not even trolling ;),12,0
21,UgxK_ADh0Xn7cbP-8px4AaABAg,always a good time when shroud uploads,14,0
22,UgzzkCUWpVAZB8kdVaF4AaABAg,"I love the editing, keep it up!",0,0
23,UgwiXr7HEn5NtLtQC4V4AaABAg,"Reading the title i thought it was about  his teammates, but damn his teammate was so nice <a href=""https://www.youtube.com/watch?v=DTuS6Bki9kI&amp;t=8m37s"">8:37</a>",9,0
