,Title,Channel Title,Publish time,Duration,Number of comments,Number of likes,Number of views,url
0,9 MINUTES OF SHROUD DESTROYING TRASH TALKERS IN VALORANT,Shroud,2022-10-01T13:01:41Z,9:39,684,22044,555368,https://www.youtube.com/watch?v=DTuS6Bki9kI
1,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,2021-12-26T15:00:09Z,30:15,400,32326,769335,https://www.youtube.com/watch?v=Kl2XzD5DMoY
2,I DROPPED A 41 KILL GAME IN RADIANT (Valorant),iiTzTimmy,2022-11-27T23:00:32Z,13:17,49,1623,47716,https://www.youtube.com/watch?v=nHywtfQIwgw
3,SEN TenZ TRIES *NEW* AGENT HARBOR FOR FIRST TIME !!!,TenZ,2022-10-30T00:57:43Z,9:29,292,14655,331982,https://www.youtube.com/watch?v=YJyaei8DKVA
4,Confusing Radiant Streamers with Movement on Valorant,Flights,2022-05-24T14:00:35Z,7:12,2924,119369,3421359,https://www.youtube.com/watch?v=K60xur_5IIQ
5,"""Sage Is A Broken Agent""",Grim,2022-11-19T17:00:43Z,8:44,272,12560,265222,https://www.youtube.com/watch?v=t4eYFPMF5yI
6,KYEDAE TRIES *NEW* AGENT HARBOR IN VALORANT !!!,Kyedae,2022-10-15T00:30:40Z,10:24,277,13583,365196,https://www.youtube.com/watch?v=6xEw95MTG_0
7,"ROOMIES VALORANT! ft. Valkyrae, Sykkuno, Kkatamina, Yvonnie",fuslie,2022-04-18T21:00:08Z,39:45,75,5491,135599,https://www.youtube.com/watch?v=A6NCiTF9quA
8,This is Why I Hate Valorant,tarik,2022-11-28T23:00:53Z,11:28,37,808,12699,https://www.youtube.com/watch?v=CnK0b8wYg54
9,Tons Of Tips About The Post Plant | Sage To Ascendant,MrLowlander,2022-11-28T10:44:20Z,10:25,134,2676,35011,https://www.youtube.com/watch?v=KHUibY5wLHA
10,1 ACE for each collection - Valorant,noted,2022-11-16T15:00:13Z,10:47,145,3817,85255,https://www.youtube.com/watch?v=Hz_gnr7Pk7A
11,"""OMEN YOU NEED TO RELAX...""",Flexinja,2022-11-28T07:51:20Z,9,55,1187,22038,https://www.youtube.com/watch?v=_XFdf8byqSE
12,Reyna instalocks Reyna,QuarterJade,2022-10-16T20:17:34Z,14:44,130,10514,203233,https://www.youtube.com/watch?v=mI-xOHNYc0o
13,WHAT IT'S LIKE TO PLAY VALORANT WITH A2GUAPO...,Hiko,2022-11-08T16:30:10Z,11:41,35,700,15713,https://www.youtube.com/watch?v=uohtZWBes5Q
14,START YORU FLASHING LIKE THIS.... (100% better),Red,2022-11-27T16:37:00Z,8:2,69,2683,57405,https://www.youtube.com/watch?v=j65QlUsU0gQ
15,CYPHER SPEEDRUN,Keeoh,2022-11-27T15:00:05Z,18:14,638,7205,106362,https://www.youtube.com/watch?v=CFlUSWXDB14
16,Killing Streamers with the Griddy Swing,Ziptie,2022-11-25T13:00:03Z,10:55,611,22126,497065,https://www.youtube.com/watch?v=6iGaCmbgxKw
17,THIS OUTFIT WON ME THE GAME... (Sentinel to Radiant HIGHLIGHTS),Jollztv,2022-11-28T15:00:36Z,17:1,62,1240,17968,https://www.youtube.com/watch?v=rWd_NAE0hy4
18,"THE NEW AGENT IS INSANE! ft. QuarterJade, PeterParkTV & friends | Valorant | xChocoBars",xChocoBars,2021-03-05T22:00:02Z,14:48,36,1620,27105,https://www.youtube.com/watch?v=6HWEI-Kpz-Q
19,voice trolling as jett and chamber in valorant,vkimm,2022-11-04T14:00:07Z,10:44,109,7748,183694,https://www.youtube.com/watch?v=B3q3y_eJrIk
20,I got coached by a PRO PLAYER (100T Cryo),xirena,2022-11-04T13:22:21Z,9:26,219,13681,270889,https://www.youtube.com/watch?v=bmr3m33JKKo
21,Ultimate Valorant Salty/Toxic/Rage Compilation,Quarkwy,2022-11-28T04:09:04Z,42:12,131,1081,20643,https://www.youtube.com/watch?v=b_9FhWU5G-U
22,🔴 Ranked Cypher Cam Tricks in Action,Peak,2022-11-28T17:44:31Z,3:17:1,0,246,5713,https://www.youtube.com/watch?v=f_mFpc-EJk8
23,IS THIS THE LONGEST VALORANT RANKED GAME EVER?!,Sydeon,2022-10-21T20:22:55Z,13:17,14,1272,18630,https://www.youtube.com/watch?v=R4RrqexHy10
24,*NSFW* VALORANT,starsmitten,2022-08-26T19:00:07Z,10:39,44,3171,56078,https://www.youtube.com/watch?v=Lc0IrV_zAWI
