,Title,Channel Title,Channel ID,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url,Comment ID,Comment,Likes,Replies,Video ID
0,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugx-MyFNGwiUKZIWI1t4AaABAg,"When you&#39;re the lowest team but you&#39;re a main character in an anime, but they lost the finals, and hey main characters don&#39;t always win, maybe someday, you guys will be legends",3716,27,Kl2XzD5DMoY
1,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzWDQhfUdW3Si6omLl4AaABAg,"Their synergy was so good, and all of them played so well",3532,3,Kl2XzD5DMoY
2,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzSYS98RNc4FGJBkHJ4AaABAg,I can relate to this vid<br>My team: we’re winning?! <br>Me: I know…I’m scared too!,2003,3,Kl2XzD5DMoY
3,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugy-kpso2H9PZV7xo-94AaABAg,"Team Scarra had like the highest average in player skill if you ask me they were pretty stacked... the fact that Team Lily that was kind of looking like the weakest on paper going into it ended up going to the finals and getting that close shows how good their teamwork was, they all understood their role in the team as players and in terms of who they were playing. Team Lily was by far the best team to watch this tournament because they kept defying expectations. <br>Would be cool to see the tournament happen again with the same teams, even though it&#39;d never happen.",1571,19,Kl2XzD5DMoY
4,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyrpTZOumJ9VvMrfhR4AaABAg,"Sykkuno be like : &quot;We are the lowest ranked team in valorant but.....i knifed toast guys...i knifed TOAST! hahahahaha&quot; <a href=""https://www.youtube.com/watch?v=Kl2XzD5DMoY&amp;t=2m45s"">2:45</a>",1448,0,Kl2XzD5DMoY
5,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzXnTJEGU59PPT_ZCB4AaABAg,But… you have the best chem ever! I loved watching this team play throughout the whole OTV tournament!! Yvonne and lily low key popping off 🔥,1025,2,Kl2XzD5DMoY
6,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxsuxXWD0-id7YMPKd4AaABAg,The ending was so sad 😭 but the fact that they got to the Finals Is amazing!,458,1,Kl2XzD5DMoY
7,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwqmAC14nGauv99Zw54AaABAg,I had very low expectations from team lily this tourney BUT THEY POPPED OFF!!,763,0,Kl2XzD5DMoY
8,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugw0JBk6CFNV-80Q1M94AaABAg,their teamwork was surprisingly great,766,3,Kl2XzD5DMoY
9,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyUl-0vDHgif3c7P5h4AaABAg,"<a href=""https://www.youtube.com/watch?v=Kl2XzD5DMoY&amp;t=24m32s"">24:32</a><br>Sean: Yeah, Sykunno fight again!<br>Sykunno: <b>dies</b> 😂",445,1,Kl2XzD5DMoY
10,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzuQQXCq9YZ8k5W7ft4AaABAg,They gave a strong comeback to opponent everytime. That&#39;s why he is the coolest.,402,0,Kl2XzD5DMoY
11,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwVaUMlTqkKWCE76p14AaABAg,"This happened last tourney too! Toast&#39;s team was technically the weakest on paper and they used the same team comp the whole time (no duelist too!), but their comms were phenomenal. Team Lily&#39;s synergy beats all, no matter the rank ☺",138,1,Kl2XzD5DMoY
12,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwGrAd3Ox7T9jylkL54AaABAg,"Sean and Danny were the pillars of the team, but Sykkuno, Lily, and Yvonne really held their own",203,0,Kl2XzD5DMoY
