channel_name,sub_count,url
Shroud,6.81M,https://www.youtube.com/@shroud/videos
Sykkuno,2.89M,https://www.youtube.com/@Sykkuno
iiTzTimmy ,1.63M,https://www.youtube.com/@iiTzTimmy
TenZ,1.59M,https://www.youtube.com/@TenZ
Flights ,918K,https://www.youtube.com/@Flightss
Grim,893K ,https://www.youtube.com/c/GrimGuy
Kaydae,879K,https://www.youtube.com/@Kyedae
fuslie ,732K,https://www.youtube.com/@fuslie
Tarik,660K,https://www.youtube.com/@tarik
MrLowlander ,624K,https://www.youtube.com/@MrLowlander
noted ,612K ,https://www.youtube.com/@noted
Flexinja,474K,https://www.youtube.com/@Flexinja
QuarterJade ,434K,https://www.youtube.com/@QuarterJade/
Hiko,384K,https://www.youtube.com/@Hiko
red,329K,https://www.youtube.com/@RedValorant
Keeoh,339K,https://www.youtube.com/@Keeoh
Ziptie ,251K,https://www.youtube.com/@ZipTie/
Jollztv ,248K ,https://www.youtube.com/@Jollztv
xChocoBars,243K ,https://www.youtube.com/@xChocoBars
vkimm,234K,https://www.youtube.com/@vkimm
xirena ,392K ,https://www.youtube.com/@xirena
Quarkwy,184K,https://www.youtube.com/@quarkwy
Peak ,172K,https://www.youtube.com/@GosuPeak
Sydeon,115K,https://www.youtube.com/@Sydeons
starsmitten ,115K ,https://www.youtube.com/@starsmitten
