,channel_id,channel_title,channel_subscriber_count,channel_video_count,channel_view_count
0,UCoz3Kpu5lv-ALhR4h9bDvcw,Shroud,6810000,1427,1007655626
1,UCRAEUAmW9kletIzOxhpLRFw,Sykkuno,2890000,640,371114832
2,UC5v2QgY2D5tlu8uws23MG4Q,iiTzTimmy,1630000,744,270439330
3,UCckPYr9b_iVucz8ID1Q67sw,TenZ,1590000,251,156725416
4,UCIfAlCwj-ZPZq5fqjpYDX3w,Flights,918000,56,96540833
5,UCWphjEePrzIrRA5mwcOt_4Q,Grim,893000,226,107134347
6,UCxjdy5n9BxX_6RTL8Dt_7pg,Kyedae,879000,81,52592490
7,UCujyjxsq5FZNVnQro51zKSQ,fuslie,732000,782,118823429
8,UCTbtlMEiBfs0zZLQyJzR0Uw,tarik,661000,1267,160021013
9,UCgtbMb3djcXKj6CHerHwZ-A,MrLowlander,624000,366,181924852
10,UCQ4dS_JStXcK3A30isduBbg,noted,612000,391,73007745
11,UCqoJxH5s6xAiJ6QyevmuG7Q,Flexinja,474000,620,63984886
12,UC_wSuaxwUYsJOBZDWwHIQZg,QuarterJade,434000,383,70766020
13,UCRN1XC7PnnTL5R_GbYOMCZg,Hiko,384000,390,55704844
14,UCFJ1pr8iwWPeQjmeHnPhqvA,Red,329000,294,53018210
15,UCeIcwvxA_e5Dvrqg3rsuN1w,Keeoh,339000,384,68926578
16,UCQ8VQZoYPeXF_q0E19UDGYQ,Ziptie,251000,237,80573053
17,UCXwNOkzewUAcBTM0Sg4iiqw,Jollztv,248000,669,33386017
18,UCdH7fwkQ5RGVAMIAN2ufm4Q,xChocoBars,243000,568,18660983
19,UCCBJqqk5h2hh8_WDGzrkRCQ,vkimm,234000,162,34498666
20,UCdSad9tpJS8V8rL-4iuRuYw,xirena,392000,56,31401466
21,UCniqx4q7Q87T77L8zTQdQew,Quarkwy,184000,329,33692521
22,UC-_1FH52GIOFGu4a8PzwRzQ,Peak,172000,484,23881565
23,UCtTWOND3uyl4tVc_FarDmpw,Sydeon,115000,161,5887065
24,UCblGuuU5c-CYqasi25xXXVQ,starsmitten,116000,198,16354781
