,channel_id,channel_title,channel_subscriber_count,channel_video_count,channel_view_count
0,UCoz3Kpu5lv-ALhR4h9bDvcw,Shroud,6810000,1427,1007803469
1,UCRAEUAmW9kletIzOxhpLRFw,Sykkuno,2890000,640,371243211
2,UC5v2QgY2D5tlu8uws23MG4Q,iiTzTimmy,1630000,744,270583472
3,UCckPYr9b_iVucz8ID1Q67sw,TenZ,1590000,251,156800117
4,UCIfAlCwj-ZPZq5fqjpYDX3w,Flights,918000,56,96575008
5,UCWphjEePrzIrRA5mwcOt_4Q,Grim,893000,226,107155620
6,UCxjdy5n9BxX_6RTL8Dt_7pg,Kyedae,879000,81,52650663
7,UCujyjxsq5FZNVnQro51zKSQ,fuslie,733000,783,119495375
8,UCTbtlMEiBfs0zZLQyJzR0Uw,tarik,661000,1268,160176290
9,UCgtbMb3djcXKj6CHerHwZ-A,MrLowlander,624000,366,182083245
10,UCQ4dS_JStXcK3A30isduBbg,noted,612000,391,73044991
11,UCqoJxH5s6xAiJ6QyevmuG7Q,Flexinja,474000,620,64015152
12,UC_wSuaxwUYsJOBZDWwHIQZg,QuarterJade,434000,383,71185748
13,UCRN1XC7PnnTL5R_GbYOMCZg,Hiko,384000,392,55709773
14,UCFJ1pr8iwWPeQjmeHnPhqvA,Red,329000,294,53077841
15,UCeIcwvxA_e5Dvrqg3rsuN1w,Keeoh,339000,384,69008419
16,UCQ8VQZoYPeXF_q0E19UDGYQ,Ziptie,252000,237,80884332
17,UCXwNOkzewUAcBTM0Sg4iiqw,Jollztv,248000,673,33547757
18,UCdH7fwkQ5RGVAMIAN2ufm4Q,xChocoBars,243000,568,18720255
19,UCCBJqqk5h2hh8_WDGzrkRCQ,vkimm,235000,162,34560412
20,UCdSad9tpJS8V8rL-4iuRuYw,xirena,392000,56,31470200
21,UCniqx4q7Q87T77L8zTQdQew,Quarkwy,184000,329,33842824
22,UC-_1FH52GIOFGu4a8PzwRzQ,Peak,172000,484,23921628
23,UCtTWOND3uyl4tVc_FarDmpw,Sydeon,115000,161,5900961
24,UCblGuuU5c-CYqasi25xXXVQ,starsmitten,116000,198,16426179
