Title,Channel Title,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
9 MINUTES OF SHROUD DESTROYING TRASH TALKERS IN VALORANT,Shroud,2022-10-01T13:01:41Z,9:39,685,22066,556408,DTuS6Bki9kI,https://www.youtube.com/watch?v=DTuS6Bki9kI
THIS VALORANT AGENT IS GONE WHEN HARBOR IS OUT,Shroud,2022-10-18T20:25:11Z,10:1,365,14567,435267,-Z2soOp0ZkQ,https://www.youtube.com/watch?v=-Z2soOp0ZkQ
SO WE TRIED A NEW JETT AND NEON COMBO IN VALORANT,Shroud,2022-10-30T14:24:11Z,10:18,203,9390,268986,ELNs_hXu1qQ,https://www.youtube.com/watch?v=ELNs_hXu1qQ
WHAT CS:GO MOVEMENT LOOKS LIKE IN VALORANT,Shroud,2022-10-07T16:00:03Z,8:54,312,18774,583014,Cow9Qa9759Y,https://www.youtube.com/watch?v=Cow9Qa9759Y
PHANTOM IS THE GOD GUN,Shroud,2022-09-01T10:15:00Z,13:19,331,16206,511696,cRzbBwK26l8,https://www.youtube.com/watch?v=cRzbBwK26l8
We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,2021-12-26T15:00:09Z,30:15,400,32335,769780,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY
Winning at Valorant by only going C,Sykkuno,2022-11-20T18:47:39Z,11:19,192,6566,92161,rMMFFE3BM5k,https://www.youtube.com/watch?v=rMMFFE3BM5k
I couldn't believe I did this 1v5 ACE!,Sykkuno,2022-01-15T17:24:46Z,10:20,164,15987,338187,hHyUOwruyZE,https://www.youtube.com/watch?v=hHyUOwruyZE
I CAN'T BELIEVE I DID THAT!! - Valorant with friends!,Sykkuno,2020-08-11T17:00:11Z,10:1,296,27636,777385,lKItvDga7Eo,https://www.youtube.com/watch?v=lKItvDga7Eo
They thought I was SMURFING,Sykkuno,2021-03-01T03:00:03Z,12:19,883,36737,684662,4_SK8b_w9cA,https://www.youtube.com/watch?v=4_SK8b_w9cA
I DROPPED A 41 KILL GAME IN RADIANT (Valorant),iiTzTimmy,2022-11-27T23:00:32Z,13:17,50,1839,57484,nHywtfQIwgw,https://www.youtube.com/watch?v=nHywtfQIwgw
SHOULD I GO PRO IN VALORANT?,iiTzTimmy,2022-11-25T23:00:04Z,8:8,95,1922,54091,2_7Pro9m07E,https://www.youtube.com/watch?v=2_7Pro9m07E
VALORANT FOR 65 HOURS: The Film | Solo Iron-Radiant in One Stream Challenge,iiTzTimmy,2021-11-30T22:00:02Z,1:24:14,3691,131711,5103684,6YESOZ_tGWo,https://www.youtube.com/watch?v=6YESOZ_tGWo
PLAYING AGAINST THE MOST STACKED RADIANT TEAM EVER,iiTzTimmy,2022-11-26T23:00:30Z,10:42,32,1582,43606,e8REhf2Feek,https://www.youtube.com/watch?v=e8REhf2Feek
IITZTIMMY VS. SEN TENZ,iiTzTimmy,2022-08-26T00:35:31Z,13:39,172,6315,206724,4FgntfRhdQ4,https://www.youtube.com/watch?v=4FgntfRhdQ4
I FOUND THE PERFECT CROSSHAIR !!! | SEN TenZ,TenZ,2022-11-27T01:02:03Z,9:48,334,11259,240987,_QDQ9oockWk,https://www.youtube.com/watch?v=_QDQ9oockWk
