Title,Channel Title,Channel ID,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
I'M BACK,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-29T22:16:54Z,10:14,396,9215,221496,jDW6uIbZHO0,https://www.youtube.com/watch?v=jDW6uIbZHO0
9 MINUTES OF SHROUD DESTROYING TRASH TALKERS IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-01T13:01:41Z,9:39,685,22141,560303,DTuS6Bki9kI,https://www.youtube.com/watch?v=DTuS6Bki9kI
THIS VALORANT AGENT IS GONE WHEN HARBOR IS OUT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-18T20:25:11Z,10:1,363,14583,435921,-Z2soOp0ZkQ,https://www.youtube.com/watch?v=-Z2soOp0ZkQ
SO WE TRIED A NEW JETT AND NEON COMBO IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-30T14:24:11Z,10:18,206,9413,270325,ELNs_hXu1qQ,https://www.youtube.com/watch?v=ELNs_hXu1qQ
WHAT CS:GO MOVEMENT LOOKS LIKE IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-07T16:00:03Z,8:54,313,18793,584216,Cow9Qa9759Y,https://www.youtube.com/watch?v=Cow9Qa9759Y
CAN 4 VALORANT PROS BEAT 5 RADIANTS?,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-14T17:10:13Z,10:16,222,10683,286402,_Ktomq5yor4,https://www.youtube.com/watch?v=_Ktomq5yor4
PHANTOM IS THE GOD GUN,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-01T10:15:00Z,13:19,331,16208,512053,cRzbBwK26l8,https://www.youtube.com/watch?v=cRzbBwK26l8
HOW CS:GO PROS CLIMB TO RANK 1 IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-11T16:20:37Z,10:29,257,11578,321815,GZ6Ifm5eeeo,https://www.youtube.com/watch?v=GZ6Ifm5eeeo
I have an announcement,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-23T22:19:00Z,10:14,1533,34774,1132788,7OWtsq-1V2Y,https://www.youtube.com/watch?v=7OWtsq-1V2Y
SHROUD CARRYING WITH CHAMBER,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-07-08T04:37:45Z,10:26,286,15531,477200,2-ts-pTv5wY,https://www.youtube.com/watch?v=2-ts-pTv5wY
My Valorant games are FILLED WITH BOTS.,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-23T05:00:56Z,8:3,314,11916,308281,vL0LfVuv1sM,https://www.youtube.com/watch?v=vL0LfVuv1sM
my LAST game of Valorant before I leave...,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-17T05:15:37Z,11:27,648,23910,708462,VBdAP-iAP68,https://www.youtube.com/watch?v=VBdAP-iAP68
THIS Spot in The NEW Pearl Map IS TOO GOOD!,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-26T05:57:50Z,8:3,246,11285,289044,oa5KKLOy8Vg,https://www.youtube.com/watch?v=oa5KKLOy8Vg
SHROUD'S FIRST PRO GAME,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-08-09T20:40:03Z,29:55,482,24037,765646,JBGg8qKzoJ4,https://www.youtube.com/watch?v=JBGg8qKzoJ4
SHROUD TRIES A NEW AGENT IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-04-28T01:56:06Z,13:57,342,19602,583732,lLlfHDmG3QI,https://www.youtube.com/watch?v=lLlfHDmG3QI
THE BEST AIM IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-05-28T01:26:22Z,10:17,215,17176,516937,C8lNiyD1Ojk,https://www.youtube.com/watch?v=C8lNiyD1Ojk
SHROUD & HIKO ARE MAKING A VALORANT TEAM,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-04T13:01:27Z,8:51,224,11236,260306,3yUrkxCga9Q,https://www.youtube.com/watch?v=3yUrkxCga9Q
10 VALORANT PROS IN 1 LOBBY,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-08-20T05:11:43Z,8:10,145,12064,307849,vrEPMHiznNQ,https://www.youtube.com/watch?v=vrEPMHiznNQ
I DON'T KNOW WHICH VALORANT TEAM TO PICK,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-29T08:55:52Z,9:33,472,13151,320906,dFBZRErvX2U,https://www.youtube.com/watch?v=dFBZRErvX2U
SHROUD'S BEST GAMING HIGHLIGHTS FT. RIOT GAMES MUSIC,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-04T19:00:58Z,13:49,188,7349,201042,Zh3puNUbujk,https://www.youtube.com/watch?v=Zh3puNUbujk
10 VALORANT PROS IN 1 LOBBY,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-08-20T05:11:43Z,8:10,145,12064,307849,vrEPMHiznNQ,https://www.youtube.com/watch?v=vrEPMHiznNQ
SHROUD'S BEST GAMING HIGHLIGHTS FT. RIOT GAMES MUSIC,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-04T19:00:58Z,13:49,188,7349,201042,Zh3puNUbujk,https://www.youtube.com/watch?v=Zh3puNUbujk
WHAT VALORANT AIM LOOKS LIKE IN OVERWATCH 2,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-22T13:02:48Z,10:9,620,16304,621095,91ScBJ6CYrk,https://www.youtube.com/watch?v=91ScBJ6CYrk
So I let my viewers choose my crosshair...,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-14T11:21:31Z,9:38,269,10675,288382,zLB-n7C2tac,https://www.youtube.com/watch?v=zLB-n7C2tac
SHROUD & TENZ VS RADIANT PLAYERS,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-04T08:52:24Z,8:7,161,11444,284708,tqBxi99UtAo,https://www.youtube.com/watch?v=tqBxi99UtAo
GOING PRO IN VALORANT?,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2021-08-01T23:30:02Z,33:46,578,25845,1033860,lKevH_se0M8,https://www.youtube.com/watch?v=lKevH_se0M8
So I let my viewers choose my crosshair...,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-14T11:21:31Z,9:38,269,10675,288382,zLB-n7C2tac,https://www.youtube.com/watch?v=zLB-n7C2tac
IS VALORANT EASIER THAN CSGO,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2020-06-08T05:43:09Z,17:35,3993,45686,1499591,Y-YgGqGPUyQ,https://www.youtube.com/watch?v=Y-YgGqGPUyQ
THE SOLO QUEUE EXPERIENCE IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2020-08-22T21:00:01Z,14:32,1372,32064,880430,Q3AFkUp4Iug,https://www.youtube.com/watch?v=Q3AFkUp4Iug
15 Times Shroud Was a Beast In Valorant,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2021-04-07T23:30:01Z,6:32,1143,73950,2182221,eGJ3Zib5gTE,https://www.youtube.com/watch?v=eGJ3Zib5gTE
We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32368,770999,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY
VALORANT POKEMON MAPLESTORY GAMES WITH FRIENDS TODAY ALL DAY !!!,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2022-11-30T04:24:57Z,6:22:19,77,4951,148545,TmY4NAe6Eks,https://www.youtube.com/watch?v=TmY4NAe6Eks
Winning at Valorant by only going C,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2022-11-20T18:47:39Z,11:19,195,6889,98885,rMMFFE3BM5k,https://www.youtube.com/watch?v=rMMFFE3BM5k
I couldn't believe I did this 1v5 ACE!,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2022-01-15T17:24:46Z,10:20,164,15995,338434,hHyUOwruyZE,https://www.youtube.com/watch?v=hHyUOwruyZE
They thought I was SMURFING,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-03-01T03:00:03Z,12:19,883,36742,684826,4_SK8b_w9cA,https://www.youtube.com/watch?v=4_SK8b_w9cA
