Title,Channel Title,Channel ID,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
I'M BACK,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-29T22:16:54Z,10:14,185,2443,39676,jDW6uIbZHO0,https://www.youtube.com/watch?v=jDW6uIbZHO0
9 MINUTES OF SHROUD DESTROYING TRASH TALKERS IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-01T13:01:41Z,9:39,685,22080,557109,DTuS6Bki9kI,https://www.youtube.com/watch?v=DTuS6Bki9kI
I have an announcement,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-23T22:19:00Z,10:14,1505,34175,1110948,7OWtsq-1V2Y,https://www.youtube.com/watch?v=7OWtsq-1V2Y
The QUICKEST Game of Valorant! | Valorant | Shroud,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2021-03-16T23:30:01Z,16:1,377,22217,583668,HozGop4vOVU,https://www.youtube.com/watch?v=HozGop4vOVU
WHAT CS:GO MOVEMENT LOOKS LIKE IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-07T16:00:03Z,8:54,312,18775,583192,Cow9Qa9759Y,https://www.youtube.com/watch?v=Cow9Qa9759Y
my LAST game of Valorant before I leave...,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-17T05:15:37Z,11:27,650,23907,708220,VBdAP-iAP68,https://www.youtube.com/watch?v=VBdAP-iAP68
PHANTOM IS THE GOD GUN,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-01T10:15:00Z,13:19,331,16206,511786,cRzbBwK26l8,https://www.youtube.com/watch?v=cRzbBwK26l8
CAN 4 VALORANT PROS BEAT 5 RADIANTS?,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-14T17:10:13Z,10:16,222,10668,285634,_Ktomq5yor4,https://www.youtube.com/watch?v=_Ktomq5yor4
SHROUD CARRYING WITH CHAMBER,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-07-08T04:37:45Z,10:26,286,15529,477120,2-ts-pTv5wY,https://www.youtube.com/watch?v=2-ts-pTv5wY
THIS Spot in The NEW Pearl Map IS TOO GOOD!,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-26T05:57:50Z,8:3,246,11284,288905,oa5KKLOy8Vg,https://www.youtube.com/watch?v=oa5KKLOy8Vg
my LAST game of Valorant before I leave...,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-17T05:15:37Z,11:27,650,23907,708220,VBdAP-iAP68,https://www.youtube.com/watch?v=VBdAP-iAP68
I have an announcement,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-23T22:19:00Z,10:14,1505,34175,1110948,7OWtsq-1V2Y,https://www.youtube.com/watch?v=7OWtsq-1V2Y
THIS Spot in The NEW Pearl Map IS TOO GOOD!,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-26T05:57:50Z,8:3,246,11284,288905,oa5KKLOy8Vg,https://www.youtube.com/watch?v=oa5KKLOy8Vg
SHROUD'S FIRST PRO GAME,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-08-09T20:40:03Z,29:55,482,24024,765114,JBGg8qKzoJ4,https://www.youtube.com/watch?v=JBGg8qKzoJ4
SHROUD & HIKO ARE MAKING A VALORANT TEAM,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-10-04T13:01:27Z,8:51,223,11222,259863,3yUrkxCga9Q,https://www.youtube.com/watch?v=3yUrkxCga9Q
THE BEST AIM IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-05-28T01:26:22Z,10:17,215,17175,516836,C8lNiyD1Ojk,https://www.youtube.com/watch?v=C8lNiyD1Ojk
SHROUD TRIES A NEW AGENT IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-04-28T01:56:06Z,13:57,342,19600,583658,lLlfHDmG3QI,https://www.youtube.com/watch?v=lLlfHDmG3QI
SHROUD'S BEST GAMING HIGHLIGHTS FT. RIOT GAMES MUSIC,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-04T19:00:58Z,13:49,188,7331,200212,Zh3puNUbujk,https://www.youtube.com/watch?v=Zh3puNUbujk
I DON'T KNOW WHICH VALORANT TEAM TO PICK,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-29T08:55:52Z,9:33,472,13146,320558,dFBZRErvX2U,https://www.youtube.com/watch?v=dFBZRErvX2U
The QUICKEST Game of Valorant! | Valorant | Shroud,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2021-03-16T23:30:01Z,16:1,377,22217,583668,HozGop4vOVU,https://www.youtube.com/watch?v=HozGop4vOVU
THE BEST OF SEN SHROUD,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-07-19T02:09:48Z,11:11,632,38837,1297780,DuQB6mgvtKI,https://www.youtube.com/watch?v=DuQB6mgvtKI
SHROUD TRIES A NEW AGENT IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-04-28T01:56:06Z,13:57,342,19600,583658,lLlfHDmG3QI,https://www.youtube.com/watch?v=lLlfHDmG3QI
10 VALORANT PROS IN 1 LOBBY,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-08-20T05:11:43Z,8:10,145,12060,307747,vrEPMHiznNQ,https://www.youtube.com/watch?v=vrEPMHiznNQ
So I let my viewers choose my crosshair...,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-14T11:21:31Z,9:38,269,10673,288153,zLB-n7C2tac,https://www.youtube.com/watch?v=zLB-n7C2tac
The QUICKEST Game of Valorant! | Valorant | Shroud,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2021-03-16T23:30:01Z,16:1,377,22217,583668,HozGop4vOVU,https://www.youtube.com/watch?v=HozGop4vOVU
HARD VALORANT GAMES,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2020-05-13T05:44:11Z,12,1328,24168,869731,8ej7LzdWMfs,https://www.youtube.com/watch?v=8ej7LzdWMfs
THE SOLO QUEUE EXPERIENCE IN VALORANT,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2020-08-22T21:00:01Z,14:32,1372,32064,880420,Q3AFkUp4Iug,https://www.youtube.com/watch?v=Q3AFkUp4Iug
THIS NEW 360Hz MONITOR WILL CHANGE EVERYTHING,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-11-16T14:17:11Z,10:25,398,7227,268481,yEH3aRkVPlk,https://www.youtube.com/watch?v=yEH3aRkVPlk
15 Times Shroud Was a Beast In Valorant,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2021-04-07T23:30:01Z,6:32,1143,73944,2181884,eGJ3Zib5gTE,https://www.youtube.com/watch?v=eGJ3Zib5gTE
So I let my viewers choose my crosshair...,Shroud,UCoz3Kpu5lv-ALhR4h9bDvcw,2022-09-14T11:21:31Z,9:38,269,10673,288153,zLB-n7C2tac,https://www.youtube.com/watch?v=zLB-n7C2tac
RADIANT IS JUST TOO EASY - 35 KILLS (Valorant),iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-11-29T23:00:15Z,11:17,18,414,5262,e2MloQWWfJ4,https://www.youtube.com/watch?v=e2MloQWWfJ4
I DROPPED A 41 KILL GAME IN RADIANT (Valorant),iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-11-27T23:00:32Z,13:17,59,1896,60403,nHywtfQIwgw,https://www.youtube.com/watch?v=nHywtfQIwgw
VALORANT FOR 65 HOURS: The Film | Solo Iron-Radiant in One Stream Challenge,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2021-11-30T22:00:02Z,1:24:14,3691,131727,5104876,6YESOZ_tGWo,https://www.youtube.com/watch?v=6YESOZ_tGWo
SHOULD I GO PRO IN VALORANT?,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-11-25T23:00:04Z,8:8,96,1961,55476,2_7Pro9m07E,https://www.youtube.com/watch?v=2_7Pro9m07E
PLAYING AGAINST THE MOST STACKED RADIANT TEAM EVER,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-11-26T23:00:30Z,10:42,32,1620,44687,e8REhf2Feek,https://www.youtube.com/watch?v=e8REhf2Feek
IITZTIMMY VS. SEN TENZ,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-08-26T00:35:31Z,13:39,172,6317,206750,4FgntfRhdQ4,https://www.youtube.com/watch?v=4FgntfRhdQ4
39 KILL GAME IN VALORANT,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-04-10T18:51:35Z,10:4,48,806,30769,Q9r7w93g8Uw,https://www.youtube.com/watch?v=Q9r7w93g8Uw
RANK #1 VALORANT PLAYER IN THE ENTIRE WORLD *NOT CLICKBAIT*,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-02-02T23:00:09Z,9:58,239,12684,403196,SxJuInLGsys,https://www.youtube.com/watch?v=SxJuInLGsys
THEY THOUGHT I WAS HACKING,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-05-18T21:00:14Z,10:39,23,386,10154,uMXQu2GmTyY,https://www.youtube.com/watch?v=uMXQu2GmTyY
WHAT HAPPENED WHEN I LOCKED IN JETT...,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-08-26T21:15:00Z,9:12,76,2476,69557,FFMbR_KNWLQ,https://www.youtube.com/watch?v=FFMbR_KNWLQ
